Date,Revenue,Expenses,Net_Income,Assets,Liabilities,Cash_Flow
2023-01-01,120000,95000,25000,500000,200000,20000
2023-02-01,135000,98000,37000,510000,205000,22000
2023-03-01,128000,102000,26000,515000,210000,19000
2023-04-01,142000,105000,37000,525000,212000,25000
2023-05-01,155000,108000,47000,540000,215000,30000
2023-06-01,160000,110000,50000,550000,218000,32000
2023-07-01,158000,115000,43000,560000,220000,28000
2023-08-01,172000,118000,54000,575000,225000,35000
2023-09-01,180000,120000,60000,590000,228000,40000
2023-10-01,175000,122000,53000,595000,230000,36000
2023-11-01,190000,125000,65000,610000,235000,45000
2023-12-01,205000,128000,77000,630000,240000,52000
